Reviewer,Rating,Review Text
Tristen,5,Enjoyed this live action remake!!! Was a little long and my 4 year was bored at times but I absolutely loved it!!
Paula,2,great acting but same movie !! which made this boring as heck !!
DS,3,Halle Berry & Melissa McCarthy are worth it. Lin Manuel Mirandas songs are totally out of place though. Just weird mismatched style. Using the new songs from the Broadway production would have made more sense.
Sarah,4,"Disney's live action Little Mermaid was really good, I highly recommend seeing it!!"
Google,3,Id like a better ending.
Bre Ono,4,"My girls and I loved ""The Little Mermaid"" starring Halle Bailey! She was a phenomenal mermaid! The remake was a lot of fun to watch and sing along to! We'll be watching on repeat in the future!"
Ronietta,5,"The movie was very beautiful, colorful, and just All and all the the best I was in awe with the colorful scenes and the music"
Virginia,5,It is a cute family film.
anonymous,1,"Original is better, CGI looked cheap, story was changed, should have not been made."
megs,5,"I’m an avid fan of the original but this blew me away & I’m very picky. They all did amazing, I love they made it modern & fave Prince Eric a background. Halle was just perfect & the instant she sang I got goosebumps"
Juan,5,OMG I loved the movie. I can’t wait to buy it so I can see it again.
Megan,5,The Little Mermaid was my favorite childhood movie.  I didn’t expect to love the remake as much as I did.  Halle Bailey was the perfect Ariel.  Amazing graphics and fun characters.  Disney nailed this remake in my opinion
karen a,1,This was one of the worst 3D effect movies I have ever seen. Do not spend the extra $$ on 3D.  And wait for it on Netflix or other.  😔the. Singing. And casting was good!!
LaToya,5,I had one person that wasn’t able to come and I couldn’t get a refund at the movies .   The movie was amazing
Nadia,5,"This movie was a breath of fresh air for the likes of both children and adults. The visuals, acting, and of course the iconic songs made my day! Such a joy to see, this is a feel good movie. Glad to see that mostly everyone enjoyed it as much as I did."
Eric,5,A new version of a classic treasure. All the magic brought back and expanded upon. I’ve seen it twice now.
Lorie M,4,"I enjoyed it thoroughly,but my granddaughter didn't. She got scared of Ursula!"
Emily D,5,"Really enjoyed this version of Little Mermaid. Halle Bailey has a beautiful voice. I liked the new songs and I liked the overall take on each of the characters-Ariel, Ursula, Eric, Sebastian, Flounder, Scuttle, etc. They all did a great job!"
Bianca,5,beautiful movie!!!!!
Jennifer M,4,Fantastic!! Such a great movie and Ariel was amazing!!
Don,5,Great storyline and plot!
Julie,5,Me and my daughter loved seeing this in 3D. The scenes were beautiful and vibrant but also different and unique in their own way.
Daniel W,5,"It was wonderful. The singing hit me to my core. Loved Halle, Javier, and Melissa. They truly brought one of my favorites to life."
Fernando Saenz,5,Loved it absolutely beautiful 10/10
Michelle,5,Halle Bailey did a great job!
Precious,5,Cinematography brilliant. Acting superb. Fun. Fresh! Awesome movie
Kimberly,5,Perfectly done. The costumes and set is amazing.
Joseph,5,I absolutely loved The Little Mermaid.  Best movie I seen in a very long time. The whole cast was amazing.  Halle Bailey is indeed Ariel.
julian,5,"so beautiful, very energetic and colorful 10/10"
Diana,5,Great visuals!! Awesome music updates!  An absolutely beautiful film.  I love the representation and actors choice.  Well done Disney!
Mel,5,I loved watching it in 3D and it being with humans
Monica S,5,I was hoping to see the chef and Sebastian part and when Ariel sat at the dinner table using the fork as a comb and pipe as an instrument. Also I didn’t like the fact Prince Eric wasn’t the one to kill Ursula.
Renee5,1,Too long !! It dragged
Lisa,5,"Love everything about this movie. All the colors beautiful song reminds me of the cartoon version, some parts of the movie was new as parts of the first little mermaid didn't made it in the movie...even it has its own version it didn't take away too much of the old version loved Hailey Bailey she did very well that girl can sing thumbs up to her and the cast all did a great job."
Marie C,5,Excellent 🫶🏼🔥🔥my Baby girl loved it 😍😘😜
Jonathan,5,"The movie was just so gorgeous, they thought of everything. Vanessa looked absolutely stunning and as so did Ariel. 🧜🏽‍♀️"
R,1,"It was ok.  I prefer the original.  :) this version lacked that spark that the live action beauty and beast or Aladdin had. 
Ariel did a good job. Prince Eric could not act to save his life IMO.  He was my least fav.  And his solo song was just forced. the CGI was a bit special/choppy especially towards the end.  Scuttle is a girl which was interesting. Prince Eric and Ariel have 6 pack abs which is unnecessary."
PattiK,5,The movie was very good but we were so distracted from the heat it was hard to enjoy. The A/C went out before the movie started and did not come back on till the last 15 minutes.
Kosha,5,IT WAS AMAZING. VERY NOSTALGIA FOR ME
Rhett,4,AMAZING!! AMAZING!!!
moeriyah1997gmailcom,5,I really enjoy the movie❤️ I can’t wait to watch it again
Jim,4,Great additional songs done right for the movie.
John,5,Ironically enough I never watched the original but I really enjoyed this one.
Damian,5,It was Ah-mazinnggggggg. My babies loved it
Grace,5,amazing beautiful unsurpassed by anything else halle jonah everyone ate DOWN
Eb MIGO,4,My girls loved the movie it was awesome
Mara,5,Lovely remake. Perfectly cast. Made the little girl in me so happy. Phenomenal graphics and cinematography. Highly recommend!
Leslie,5,The colors of the underwater scenes were so vibrant.
Deshona,5,This movie is amazing . Halle does a wonderful job and the bird and crab were amazing also.
Nykia,5,Really enjoyed The Little Mermaid such a cute and inspiring movie.
Eclipse,5,The movie was entertaining.  It is a good family movie to see and we all enjoyed.  I do wish they would have given more background to Erick.
Amanda,5,My daughter really enjoyed it!!  Will definitely see again
First L,5,Absolutely beautiful phenomenal work. I didn’t think it would be this good and I’m glad it was.
Dianne,4,Visually beautiful.  True to the original film.  Haily Bailey was wonderful and what a voice. Melissa McCarthy was so great Ursula.
Google,5,Growing up with the little mermaid and seeing the live version with it's little twists (no spoilers) is amazing Halley Bailey is the perfect Ariel I got goosebumps hearing her sing.
Riley,5,"With all the negative things I’ve heard, after watching myself, I can’t say one negative thing about it. We loved it!!"
Regenia,5,I love the effects and Halle & al of cast did excellent job.
Nicole s,5,Loved the music! Loved the visuals!  Loved everything!
Jorge R,5,Loved it. Great additions with all the feel and wonders of the original.
Aries,4,We liked the crab and the mermaid and her daddy
Jake O,2,"Acting was awful, the new songs they added were REALLY bad, and I think they changed way too much from the original. The songs from the original movie were really good. That was my only redeeming factor"
Susan C,5,"The special effects were out of this world. Better than Avatar in my opinion. The music and singing was wonderful. Even though I knew the whole story, this more than kept my attention. I liked it much better than the cartoon, and I really liked the cartoon. I really enjoyed the interracial cast. The costumes were fabulous and the choreography was wonderful. Thumbs up! Five stars!"
MOSHY,5,I JUST LOVE HALLE🤍🤍 SHE DID GREAT!!!!!
cheree s,5,Loved every minute of it.
Mrs. Chisum,5,"Great movie! I love the vibrant colors. I enjoyed how realistic everything was, and everyone looked.  The only negative was Sebastián was a crab and not a lobster like the original movie, and Flounder didn't look like a flounder fish."
Mark,1,"Acting was not good, graphics were mediocre.  Worst villain performance Ive ever seen.  Save your money, wait for streaming"
Kasandra,4,Such a wonderful movie!
Colleen G,5,I loved this movie so much. I grew up watching the Little Mermaid when I was little. If you get the chance to go see this movie DO IT!!! The cast was AMAZING!!!
Maddox,4,Halle Berry did a great job!  The movie was aesthetically appealing!  I would highly recommend it!
Tony,5,Great movie! Good story line and singing
Elizabeth,3,Im a huge Disney fan and the seagull character was off they didnt sing all the songs if you going to make it into a live action make sure you make it as close if not identical to the original. Flounder was a skinny little fish. It was subpar at most. Do better
Maisie,5,Was so similar to the original! Loved it so much
Kee,5,Definitely a must see!! Halle did an amazing job!!
Aleh,1,"It was ok, some scenes were not good"
Summer,5,"I have no idea what the tomato top critics are talking about.  This movie was magical, engaging, action-packed, tearful (in the best way), touching and lived up to and exceeded the joy of the beloved animated version. The perfect movie for the entire family."
Lissa,5,"The animation, acting, and casting was great!!"
Keyanna,5,Movie is 10/10! 3D was amazing experience!!
GG,5,Wonderful upgrade to the classic version
Lynda Williams,5,Absolutely love! Brought up so many memories from my childhood. I was in happy tears and singing along.
Elena O,5,"I loved everything, mostly this lil mermaid did not stays living in the ocean and became a human being and accepted by everyone in the castle. Worth all pennies"
Kel,5,"Various things I loved about the film that I cannot even type into coherent sentences at this moment. Lol. However, I will state that Halle Bailey is a STAR, and Melissa McCartneys portrayal of Ursula was phenomenal Incredible work, Disney. Incredible work!"
john,5,Awesome movie great movie
Trinette,5,Loved the little mermaid 3D
Deborah,5,I loved everything about the movie
Aaron,5,Disney did an amazing job with the music and graphics. Perfect choice of actors!! Great movie!!
LaRae,5,"It was a lovely tribute to the original!! Great movie, my niece was dancing the whole time!"
Google,5,Love this movie. Graphics and singing was amazing.
Larry,4,Visual Effects were exceptional
DKid,4,Loved the music!  CGI was great!  Actors did an amazing job recreating the wonderful animated version. Melissa McCarthy was spot on as Ursula!!
Angela,5,Music and underwater scenes were great!
Tanya,3,started off slow but got better after ward. should of waited to watch it on disney+.
Jessica F.,5,The movie was Awesome!!!! Must see!!!
Michael K,4,Under the Sea song was so well done.  Ursula and Sebastian characters well done.
Robert,4,Magical and fun! Halle Bailey and Melissa McCarthy are amazing!
gloria,4,Beginning to long. Great movie after it got going
Adalitza,5,Loved all the colors in the ocean!!!
Ani,5,EXCELLENT!! EVERYTHING WAS EXCELLENT!! I RELIVED MY CHILDHOOD IN AWE!!
Jude,5,Liked add scenes and story lines.
Mai,5,"Love it! Love this version. Love the addition that was added, not too much to interfer... Love the Caribbean vibe and love the built up connection between Ariel and Prince Eric."
Clara Martnez,5,"Vocals were great! 
Tech was fantastic
Actors did great job"
Kristin M,2,"The story was better, movie was stupid because the characters were stupid. Could have been much better"
Pat,4,"For me as a senior,I thought it was the best movie that I've ever seen ."
Lawrence,5,Great movie.  Kids loved it
Pat,5,Seven year old response.  The ending.  Underwater photography was coo!  The music and the beginning.  All perspectives of a 7 year old!
Brock,5,Really good movie and the story line is amazing and the soundtrack was great
Chelsea,5,This was a beautiful live action version of The Little Mermaid. The effects were great! I felt like a little kid again watching this movie.
Shika A,5,I cried everytime she sang. Every actor gave their all. So amazing !
Markeisha,5,The movie was so amazing. Me and my daughter enjoyed it very much. Its definitely a must see.
Chicara B,5,I loved it! Loved the ending when the king showed up to support Ariel and the mermaids represented every nationality!
Detrek,5,"The film was a great adaption of the original version! The singing was phenomenal, the theatrics and much more."
Jaclyn G,5,I liked the singing. Kept true to the movie and things omitted werent major parts.
Chauncey,5,"if halle berry wanted me, I too, would fight a sea witch for her."
Gwendolyn N,4,Beautifully done. Slow in spots but the singing and underwater was excellent. Melissa as Ursala was amazing!!
Sandra K C,5,"So colorful! Beautiful full screen pictures that put you right in the middle of the scene! Awesome!
Im a softie at heart, so it was crying time at the last, but happiness at the ending."
D.S.,5,"Phenomenal! So happy to share this with my daughter! Halle was just amazing as Ariel, and you can't really go wrong with Javier Bardem and Melissa McCarthy as Trident and Ursula."
Linda D J,5,I liked best that it was multicultural.
Caitlin,5,it was an amazing movie I loved every minute of it
Randel,5,Everything about the new movie was fantastic
Lillie,5,I loved everything about the show! Halle did a great job!
Chesnee,4,"it was really good! casting was perfect, just kind of a long movie, but i will admit that it was very attention focused so it needed to be longer in that case! perfect happy ending and a great live-action version of a classic disney movie"
Erica,5,Halle was everything
montelongor2002,5,Loved the movie beautiful effects and right on
Jarad,5,"Loved all the vibrant colors. Took my daughter on a daddy-daughter date, and it was perfect! Halle sang her butt off, and made the whole movie! The inclusion with off of the Kings daughter was beautiful. You couldnt have picked a better mermaid, I cant imagine anyone else for the role! Awesome job DISNEY"
Sandra,4,I enjoyed it. Beautifully done!
Susan W,3,"I enjoyed it very much, music, cinemetography and story"
Kianti,5,I Loved it..i can watch it again
Bernice,5,"took my grandkid and hey loved the movie, self serve for their popcorn and soda the experience was great."
Jiminti,5,The mix of animation and humans was terrific. Great story!
Chelsea,3,"The movie had great special effects and was great in IMAX. The music was fun and nostalgic, but the story line was exactly the same as the original which isn't wrong, but it made for a more boring experience. The crab was fun and lively, but they made flounder so sad and lifeless. I could have let this one go to disney plus and would have been fine."
Christine and T,5,"Loved, loved, loved it"
Teresa F,5,My favorite part when the pelican was rapping that was to cute.
Julia,5,Loved the mixture of animation.  Halle Bailey was wonderful in the role of the little mermaid.  Loved that it was in tune to the original movie!
Christina R,5,"Amazing animations and visual effects! The music was GREAT! And in my eyes, the cast was perfect!"
Jayne W,3,"Loved most of it! However, there is 1 thing that I didn't care for, which is Skuttles being underwater for so long. And it did seem to drag in several scenes"
Daniel K,2,The movie is entertaining but also a lot different from the original story
Denise G,5,The music was fantastic - really enjoyed the entire movie.
Christy,3,"Not my favorite Disney live action remake. It started off very slow and dark, but got better as the movie progressed. But the worst part is that they left Sebastians arch enemy out Chef Louis! That couldve made the movie so funny, so I was very disappointed with that."
Cindy L,3,The animated version was better.  Ursula and Sebatian were great.  The new songs were good but sort of stuck out as not quite part of the original score.  Flounder looked like a rubber aquarium fish. The movie was enjoyable but not needed.
Ann Warmkessel,5,"Saw movie with our 8 year old granddaughter. Loved it. The effects were superior and Eric and Ariel were adorable. Saw the original with my children , loved it then, thought this remake was wonderful,  as well."
Shanquifa,0,"My eyes, my hears, my god!! After being a fan of the little mermaid since my childhood, I can’t believe they did that to her story! Disney swooped so down on us.."
N,4,Great story and music!
Lorrie,5,I loved it and so did my 33 year old daughter and 5 year old granddaughter. Nothing to dislike
Shannon  R,5,Loved this. I didn't care for Eric's song.  everything else was perfect.
Maribel C,5,Beautiful movie Halle Bailey and the rest of the cast were fantastic the effects amazing. Thank you for taking us back Under the Sea.
Stacey,5,"Halle is the perfect Ariel. She truly knocks it out of the park. The chemistry between her and Jonah is so great and really makes you fall in love with them by the end. Your kids will love it too, they have great musical sequences. Its not TLM 1989 but where they took liberties, they did a good job. Go see it!"
Micheal M,5,"A truly refreshing take on a classic story. The original songs they snuck in were catchy and whimsical, my daughter loved it! The casting was excellent Melissa McCarthy and Hallie both shone in such a unique role. I can one hundred percent recommend seeing this with children and older friends alike."
Christopher,5,"The Little Mermaid is my favorite Disney Movie! I went into this movie with an open mind and it was such a treat! I loved this movie, I found myself dancing along in my seat and having to contain myself from singing along out loud LOL. So as a diehard life long Little Mermaid Stan I was very satisfied with how much of the original movie they kept intact and pleasantly surprised with the changes made from the original that really made this movie its own thing. This was not just some copy and paste of the original (Looking at you Lion King)."
Linda,5,Great animation great voices when singing
Sandy,5,I really loved this movie!! It's definitely a must see.
J,5,Did not expect to like the movie as much as I did! Halle Bailey absolutely KILLED it! Her vocals are so powerful and clear and the acting was great! I didn't even really think about how Flounder and Sebastian looked. Also Javier Bardem? Fantastic as King Triton. And don't even GET me started on Prince Eric!
Ellie,3,"Although the film certainly dragged on during some scenes, overall it was enjoyable. It was a good recreation with a wonderful cast. I will enjoy watching it at home someday with the brightness turned up."
kirk,2,Erics signing sucked!!! And the movie was SO boring!!!
Melissa,5,Did a great job at telling the story
Courtney,4,10 out of 10! Definitely recommend watching! Such a great remake. They stayed true to the original story but added a little extra that I enjoyed! Definitely going to see it again!
Ash D,5,The movie was really good and cute
Amanda,5,I loved everything about this movie
KELLEEN I,5,LOVE LOVE LOVE it - every minute!!!!!!
Lisa S,5,"Great  movie! Liked the singing, heartfelt story line and the costumes  were amazing"
Nicole,5,Movie was good. One can really appreciate the lengths Disney goes to create live adaptations.
Jaime,5,I love that it kept the original story line with just a few enhancements. Halle Bailey and Daves Diggs were amazing!
Sara,2,The cinematography left a lot to be desired. It could not be compared to the original
Kia,5,"Beautiful! Job well done! I was never a fan of the original, this remake made me fall in love in a brand new way."
Julie,5,"Absolutely beautiful movie. Halle Baileys voice is angelic, and Melissa McCarthy shines as Ursula. So many fun moments, and I love the cast diversity!"
Natasha,5,Loved it - great movie!!
Natania,5,"Like my old favorite, but even better! I love how they gave us a more realistic cultural context for the story. Being in a Caribbean-like setting enhanced the film, while still staying true to the original movie. They did a fantastic job of hitting those key scenes almost exactly! I would gladly  watch it many more times."
Michael,5,I love this live action version 🧜🏾‍♀️ 🧜🏾‍♂️
Lizbeth,5,absolutely loved it!
Andrea G,5,Absolutely captivating. I loved it!
TATIANA T,5,"LOVED, probably Disney's best live action remake yet. Hailey did Ariel true justice,  bravo!!!!"
Wesley S,5,"Absolutely beautiful film that wonderfully holds all of the things we loved of the original, while adding depth and nuance to the characters we know and love. It also has a wonderful Caribbean flair to it that is awesome."
Marzetta,5,Halles singing is absolutely angelic. For this to be her acting debut she did well. Everyone did a good job bringing the cartoon story to life. Melissa McCarthy played Ursula well. Me and my family really enjoyed the movie
Robert M,4,"It's a film for a younger audience. From my 69 year old perspective, it was ok. My 8 year old granddaughter loved it. That's really all that mattered to me. Halle Bailey and Joshua Hauer-King were quite good both with singing and acting. Melissa McCarthy really captured the snarky malevolence of the character Ursula. I never tire of Awkwafina's delivery."
Linda  G,0,Couldn’t watch this movie. Fire alarm went off after 10 minutes into the movie. I was crushed
Whitney,5,Loved every second of it! 20/10 would recommend.
Melissa Q,5,Amazing! Halle Bailey does an amazing job! The cgi was a little ehh but the movie was a great time. Saw it in 4D & had a blast
Sylvia B,5,"Probably the best live action Disney movie we've seen. Singing was great, underwater and above water scenes were great and acting (live and vocals) were great. Halle Bailey was perfection and Melissa McCarthy as Ursula is a treasure. A must SEA movie!"
Mariela,5,"It was a great movie, Love it"
Brandon Richardson,3,"The new material was either hit or miss. Some things worked, and some didn’t. Even though some CGI was wasn’t perfect, there were stellar 3D effects. Also, Bailey and McCarthy were golden and perfectly cast. The Little Mermaid (2023) is no masterpiece, but it certainly is one of the better Disney remakes."
rosemary U,5,loved the movie everything was perfect my daughter loved it too will watch it again
Justin,4,"Halle Berry is sensational! The iconic music, bright color palette, & story remain faithful to its predecessor. McCarthy nails Ursula while the cast performances will leave you wanting more. Ariel & Eric chemistry felt organic. A good time for all families!"
Nancy Fecca,5,Loved it start to finish!
Misty  R,3,Melissa McCarthy was brilliant. Cgi was a little weird in parts. Most of it was magical. Leads were sweet.
Amber,5,"This movie was so good! As a Little Mermaid fan since the age of two, it was so nice to be back in Ariel's story and to fall in love with it all over again. Halle Bailey embodied Ariel and it was truly magical to finally see her as our favorite mermaid! I found myself practically swooning over Prince Eric and loved the depth they added to his character, along with his and Ariel's chemistry! I went in with some reservations and expectations, but I didn't even give those a second thought once fully immersed in the movie. Truly loved the entire cast, and all of the new songs were great additions! I will say that I wish Colleen Atwood had shown out more with Ariel's wardrobe, because it left a bit to be desired with how few outfits she had to wear. Would have loved to see her in a ball gown at least, but especially the victory/seafoam dress when Triton turns her back into a human. To sum it up, in a time where the live action remakes seem almost played out, this one truly felt like a reimagining in the best way! A way that doesn't feel like it was copy and pasted from the original, but instead inspired by and added to the world of the classic tale that we all love so much without straying too far from the source material. One of the best Disney live actions so far, right up there with Cinderella for me!"
Erin,5,absolutely loved this movie !!
Sung C,5,"Absolutely genius. The amount of love, care, and attention to detail is just astounding. Fantastic storytelling."
Lauren M,4,"Loved the movie and the actors portrayed the roles amazingly! As a mom of three red head girls, Ariel is their icon. I just wish her hair was more true red like the original. Otherwise she was awesome!!"
Yelena,5,such a fun movie. They did justice to the original and added some of their own flair. it makes me sad this movie received so much hate
Kieva,4,"I enjoyed the movie a lot. It was a beautiful picture. It held my attention and it was balanced comedy, drama, romance, it was awesome. Well done."
Keith Henry Iii,5,Took my 30 year old daughter who grew up on and loved the original to see the latest version of the little mermaid she was very happy with the live action remake.
ce2916,5,The additional songs by Lin Manuel Miranda were unexpected and great! I loved the spin on the characters!
Debbie,5,Loved how realistic it was
Mrtaz15,5,Cute and family oriented
KC,3,"My daughter was pretty upset little mermaid's hair wasn't red. The setting with the movie at sea seemed way different than the cartoon. 
Favorite part was actually Ursula, because she was true to her character and portrayal just like the cartoon."
Jessica,5,AMAZINGGGGGG! We loved it!!
ED,4,It fits the times of todays youth.
Haley C,5,Beautiful recreation of the animated movie.  It was tastefully done.  Melissa McCarthy was phenomenal!   A MUST SEE
Angel,5,Beautiful movie to see with the family
Charlise,5,I loved it! It was a beautiful film and I enjoyed how they expanded the story a bit more. Ariel had fleshed out goals and there was great development and depth with her relationship with Eric.
Mark,5,It was really good. It was faithful to the animated version. I liked the visuals and the story. It was wonderful
A,5,Family oriented movie
Kimberly,5,"so proud of our little Halle, loved this movie and the graphics were WOW."
Virginia,4,"This movie was beautiful. The colors and the music were both mesmerizing. I did think it was quite intense for younger children, but older ones would be enthralled."
Mary,5,This was an exciting movie.  I loved the cinimatography and all the action.
Carol,5,This movie was fantastic! I loved it allthere was nothing to dislike!
Arnita,5,It was an Awesome movie for all ages. Absolutely Loved it.
Teshanee W,5,I felt like I was transported back to my childhood. The only difference this time was that it looked a lot like my world. The small changes were cute. I loved it!!!! I can't wait to see it again.
Liz,3,I feel like we could of done without Eric’s singing
Janice,5,It was on point of the original Disney version. Loved it !!!
Adriana A,5,It was a beautiful movie.
Disney,0,Changing a character that people grew up with instead of creating  new one.
Craig E,5,This was really entertaining and fun.
Grandmother,5,"Beautiful colors, 3D is fun and actors exceptional!"
Joseph,3,It was actually a good movie.  All you gotta do is go watch it for yourself.  The only annoying actress was Awkwafina playing Scuttle.
Jackie,3,"Didnt like that Ariel didnt look like we have known her to look all this time, but they tried to make everyone else look as they always have. Her acting was well done but she just never felt like Ariel to me and it made me focus on it no matter how much I didnt want to. I Didnt like Sebastians voice nor King Tristans voice/accent which loses its nostalgia for a long time fan.  Cinematography was amazing, and Ursula was well done. But Disney tried too hard to make this movie about inclusivity of races rather than just focusing on leaving the classic Little Mermaid that everyone knows and loved as close to the original as possible like is done for most other live action films.  Sad to be disappointed."
Sean,5,Loved everything about it!
Movie lover,5,A must see! Disney did a fantastic job of this live version of little mermaid. All the songs we wanted to hear were performed perfectly children and adults alike will enjoy this movie
Caroline,5,Halle Bailey did an amazing job at bringing Ariel to life. Her voice is compared to a siren in the movie and it is just that. The songs both old and new are wonderful and catchy.
DeeDeeF,5,"Music, production all excellent.  Very enjoyable."
Marsica Spalding,5,"I loved the casting, story and music. It was very nostalgic.... And especially loved the diversity in this movie. Well done, Disney!!!"
BKE,5,"It was really good! The additional songs were superb! A fun, enjoyable movie."
KO,5,Very cute  how they did this movie. Seeing all the little girls dressed up like Ariel was adorable. A must see!!!!
Diahann,5,My daughter loved it! She said that it was better than the cartoon….racial diversity is beautiful!
meho,5,I loved the whole got damn thing
Donna B,4,The music and acting was fantastic. We enjoyed it from start to finish!
Sandra C,4,I enjoyed the movie.
Ella,5,The cinematography was amazing! Beautiful shot after beautiful shot! Halle Bailey did an amazing job! Loved the extra background for Prince Eric.
Deysi,3,"They cut off scenes from actual movie, like when they got married they didn’t show that, but it was good"
Cheryl,5,I saw previos and photos and I really wasn’t sure but when a i saw the whole thing I was like ok.
Arden,5,It was amazing!!!! I would watch this movie 100 times in theaters!
Patti S,5,"Liked that it had various cultures and was clean, no gay or lesbian relationships to help kids understand what God intended"
Sandy addison,5,"Great music, great story and loved the people who played in it. Going to see it again next week!  Loved it!!!!"
Google,5,We saw it in real 3D with d box and enjoyed the movie!
averina,5,The movies was amazing loved everything about it.
mike m,4,"The movie is really good it has some changes from the animated movie, but other than that it’s still a good movie for the whole family some parts I didn’t like was the casting for Sebastian he didn’t sound good and he looked really weird and the way they did Scuttle was wow not in a good way they made Scuttle into a girl and (he) doesn’t look like a seagull he looks like short crane. Halle Bailey is great as Ariel her voice was amazing the music is awesome the music is just like the animated, Melissa McCarthy as Ursula was outstanding the cast was great and there’s a couple of special people that appear in the movie and those people voiced Ariel and Sebastian from the animated movie. I think that this movie is one of best Disney remakes ever I put it on my list at #2 on my list of the remakes I put it behind Beauty and the Beast as the best remakes"
Mary,5,"Great special effects, loved all the actors and music!!"
Ana,5,"Surpassed my expectations, my childhood is complete!!"
rohan a,2,"Blatantly miscast!  Played more like a horror story than a fairy tale. Singing was uninspired. Actors were just reading lines. No chemistry between performers, What  are the people in Disney thinking??? Stick with the animated version, Save your 29 bucks! Someone remarked the prince was prettier than the mermaid. Ha!"
Anita,5,It was all around excellent movie.
Leo,5,Music was perfect the pace of the movie was exceptional great acting throughout!
Ashley,5,It was great! Beautiful visuals. Excellent choice or actors/actresses for their roles. Outstanding!
LaKira,5,"Beautiful movie, my 4 year old and I loved it."
Tamla Terry,5,"I loved it! It added to the orginal, it expanded on Arial's and Eric's relationship. It was full of diversity fun and excitement."
Johnathan,2,Boring just like the original
ThatOneChick,4,"The movie was really good. I give 4 stars because some of the singing was cringe, but again, overall good. I might have enjoyed it more if there werent screaming/running children everywhere."
Deione,5,Loved it! The black Ariel added a special touch.
Google,5,Enjoyed with my 4 year old granddaughter.  She said that it was amazing!!!!
Carol B,5,"I loved all the beautiful colors, the music, the love story I loved everything about this movie!"
Tyra,5,"Wonderful ,Amazing ,Spectacular 💫💫💫💫💫❤️❤️❤️❤️❤️❤️ loved it"
Bibiana F,5,Beautiful movie with amazing meaning behind it.
Tara S,5,"Everything was great. the visuals, the singing and Hailey Bailey was absolutely wonderful. This is definitely worth the watch."
Cori T,5,Amazingly done. A great take on Little Mermaid. Loved it.
Kelli,5,I just loved everything
brittany nicole,5,"This was the best movie Ive seen IN MY LIFE! Halle Bailey was by the far the best possible choice for Ariel. Jonah, Halle, Melissa, literally the whole cast did amazing. You could see the chemistry on screen. Definitely will be seeing this at least 3 more times"
Glenda R,5,This movie is a great feat of modern movie making. It is excellent. I’m a grandmother and I loved that movie as much as the kids did.
NickWrightData,5,"FANTASTIC! Absolutely the best Disney Live Action movie they've ever made, and while that's not saying much, The Little Mermaid KNOCKS IT OUT OF THE PARK!!

Absolutely incredible movie, would recommend! I cried!!"
Jessica,5,"Amazing graphics, engaging, Ariel is sweet and adorable. 
The varied nationalities of her sisters was unusual making king Triton look like a sea whore."
teeresa h,5,special effects were great! Good story line. Great music and singing!
Anouk,5,It was such a wonderful film for all ages! I could watch it over and over again.
First L,5,Great remake of the original
Google,5,I love it and Ariel get her voice back
Jermaine,5,"Its not just Disneys best remake but its One of Disneys best movies ever made. Absolutely beautiful, I cried several times. Halle and Jonah as Ariel and Eric totally deliver full romance!"
Renee P,5,Loved it! Great additions to the regular story.
Bryan,2,Classic animated films need to be left alone. The anticipation that this would be as good as the original was real.....but dissappointed.
Monet,5,This movie was AMAZING!! Halle was great!! I’m so glad they chose her!! Her voice is PERFECT for this role and she is stunning! 10 outta 10 would watch again!
glen w,5,Movie was great we took our grandaughter and we all loved it!
Angelique,5,"It was GREAT! Very nostalgic! I wanted to sing along to all the songs, and I loved the new songs!"
Samuel,5,"I thoroughly enjoyed it. The movie was really great, and the casting was spot on. Disney did a fantastic job."
MISSMAMAS,5,ABSOLUTELY LOVED THIS MOVIE... I LIKED HOW THEY DIDN'T CHANGE THE CHARACTERS KEPT THEM THE SAME WITH A MODERN TWIST... ..AS AN ADULT I ENJOYED WATCHING ONE OF MY CHILDHOOD CLASSIC MOVIE AND TOO SEE THE KIDS REACTIONS AS WELL....
Chrissy,5,"The movie was 10 STARS, MY girls love it and can't stop talking about how much they want to be a mermaid"
Jim,3,It was decent. About what I expected.
Stormy,5,I loved that the roles of Ariel and Eric where wished when it came down to defeating Ursula.
Keith,1,"Horribly long, was too long for the kids, not true to the first Little Mermaid, grandkids and grownups disliked the new songs"
Trenecia Edwards,5,The movie was awesome! Halle Bailey did an amazing job! Love every minute of it.
Cody,5,"This is the first live action Disney movie I've seen that I felt was actually necessary.
The emotions of this story are sooooo much more impactful when told with live actors"
leona l,5,"The music, the story and the ACTING !!"
Nina,1,the rock scene was horrible
Seonhwa,2,"It's just a typical Disney Little Mermaid story.  It's just that the exciting song but not exciting atmosphere, and awkward acting..."
Myra,5,EVERYTHING! The cast was amazing.  The music was great!   We had lots of fun singing along :)
Tenecia S,5,Very well done and entertaining.
John,5,The movie had a good set of meaning of showing love even though a person is different regardless of their life raised environment
Raquel,5,"Enjoyed it so much, I saw it twice. Once through regular viewing and 4DX. 4DX was the best experience and made the film even better. Highly recommend."
Melissa,5,Halle was great! I also LOVED Melissa McCarthys performance. Well done bringing this fictional story to life.
Aj,5,Music was great we watched in 3d it was a good picture and experience fun to see the recreation I still have the vhs but the old picture I could not get my child to watch thanks for remaking this film looking forward to more remakes of Disney
