제목,평점,내용
Plesant enough family movie,6,"3 out of 37 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Did not make it to the end,1,"There's only one word that describes this movie.... STINKER!!! This was one of those films you walk out angry, because it's time you won't ever get back. The only positive I can give this film was the young lady playing the lead role was absolutely gorgeous. Oh and the crab was indeed funny.... The remake's main sin, however, is that it's visually confusing, if not altogether aesthetically unappealing. At times, it looks downright awful. If you blame the movie on the lead actress THEN YOU ALREADY DECIDED before watching, this movie stinks because of the individuals who made the film. What a shame because I wanted to like it!!!! You're better off going to see Mario Brothers for 2nd or 3rd time, and wait for Disney to release for free on their app, BUT I won't waste another second on this movie, wasn't worth the first watch, much less a 2nd."
Just... no,1,"Very altered from the original Disney movie and very bad cgi. Many differences and weird characters. No words. My friend's twin daughters that were excited since last year to see it, they were very disappointed and kept calling ""When the real Ariel will show up?"" and me and my friend sunk in our movie theater chairs not knowing what we have to say to the girls. Eventually we told them after we finished the movie and went for ice cream and they got very sad. I don't have any problem with Bailey, she was good, but the kids? They are kids... Its was like they told them they were adopted. They had that face."
Delightful and Enjoyable,8,"Now that I've watched The Little Mermaid I have quite a lot to say about the movie. Let's start off with

THE POSITIVES

THE CAST- The casting for The Little Mermaid couldn't have been more perfect. Halle Bailey's breathtaking performance as Ariel is hands down the greatest aspect of the movie. Her singing, her charm and her line delivery is almost identical to Jodi Benson's Ariel while adding a little bit of her own style to the character. Mellisa McCarthy as Ursula is deliciously evil and her rendition of Poor Unfortunate Souls freaking slaps. Jonah-Hauer King does a pretty great job as Prince Eric. He really brings out the character's adventure spirit. And Daveed Diggs as Sabastian and Awkwafina as Scuttle provide solid comedic relief.

THE SONGS- The movie features almost all the songs from the first movie with the exception of Les Poisson and Daughters of Triton which were sadly cut from the movie. Halle Bailey's rendition of Part Of Your World gives you literal chills. Every line she delivers brings out her desperation and longing for the human world. Mellisa McCarthy, like I said, knocks it out of the park with her rendition of Poor Unfortunate Souls which brings out the devilish personality of this character. Under The Sea is a BOP as always. On top of that there are three new songs written by Lin Manuel Miranda which are all good songs ( except for one, we'll get to that later.)

THE CHEMISTRY- One of the things that I liked about the movie is the chemistry between our two leads. Their relationship here feels a little more fleshed out than in the original. We get to see them bonding over time as they both seek the passion for adventure.

PRINCE ERIC- I feel like the filmmakers did a justice to Prince Eric. They made him more fleshed out than in the original giving him a backstory and a song. We get to see more of him and his passion this time around.

THE VFX- Okay. So the trailers and the TV spots for this movie were absolutely terrible and I was a lot more worried about the VFX while going into this movie. But boy was I proven wrong. The VFX, even if not as amazing as it could've been, is beautiful to look at. The underwater world looks so colorful and vibrant that it creates an immersive experience for the audience.

THE NEGATIVES-

THE SCUTTLEBUTT- As much as I love the songs in the movie this one song was easily the worst aspect of it. It feels so forced and unnecessary and is really annoying. IDK how Lin Manuel thought a rap for Sabastian and Scuttle would be a cool idea.

THE PACING- It pretty much follows the plot of the original movie but adds some of its own story which ends up feeling a little rushed and overstuffed. The second act felt a little uneven at times but thankfully the climax saves it all.

FINAL VERDICT-

The Little Mermaid is one of the better live action adaptations from Disney that pretty much retains the heart and soul of the story we know and love. It's not perfect and definitely has it's issues but it's a beautiful and charming movie nonetheless which comes close to recapturing the magic of the animated original. 7.8/10."
"All girl power no man, fish or crab help needed",7,"6 out of 15 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Not very good,1,"I went in with an open mind, willing to give this movie a chance, despite what others say. It was really awful. It just looked bizarre and had awful singing sequences. I am not sure why they feel the need to continually make cartoons into live action movies, but this is another that should not have been done. The cartoon is far superior and if you want to see a good version of this, stick wth that one. Even when they had this story on Once Upon a Time (the tv show) was far better than this mess. If you insist, you are better off waiting until it hits cable or a streaming channel you already have than wasting money on it."
This is Important Movie Magic,10,"13 out of 52 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Saw with theater group,7,"1 out of 12 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Really?,1,"I don't know why they made this movie, Disney couldn't write a new character and tried to revive this with terrible CGI designs. The acting was good the singing was great but it just wasn't the same. It didnt feel right throughout the whole movie Disney should be sued for monopolizing and all the rights to their characters should be redistributed to people who care for the stories and movies. All Disney cares about is marketing and money. Perhaps if they didn't milk old characters as much as they could they'd come up with new stories. Disney and their employee's are what's wrong with this world no magination or passion just greed."
Better than the Original,10,"Let's face it, the original little mermaid was kinda bad. The animation was kinda old and the music wasn't very well produced. The story didn't make much sense either

this new one is so much better, the music is fantastic and th cast was really well put together. Cinematically a total gem. Lin Manuel again stamps his legendary touch in Disney. He may go down as the most important thing to happen to Disney since Jon Favreau. It's probably the best live action remake of a disney classic ever. And way funnier than the orginal and less of the classic Disney princess tropes that don't fit 2023 sensibilities ."
Good for what it is but overall just mediocre,6,"11 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Utterly devoid of charm,3,"It's really hard to find any redeeming qualities with The Little Mermaid. The acting is bland, the CGI is dark and without charm and it's horrendously boring. My daughter of 9 was yawing and asking to go to McDonalds after 60 minutes. I explained to her that we're only half way through and her face sank. It's a testing time when a child that loved the original feels like the remake is too long and boring. I thought it was just so pointless. The original is one of the finest animated films ever and this is an over long cash grab. None of it makes sense. Ariel doesn't have red hair. A bird can breath underwater. Eric doesn't save the day which negates the redemption with Triton. I would recommend that everybody watch the original or read Hans Christian Andersen's story. This horrible CGI version is not worth your money."
"A wholly unnecessary, ultimately lifeless Disney live-action remake",2,"16 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
2023 - Movie of the year!,10,"Halle Bailey is the perfect Ariel and effortlessly perfected every inch of this role, her body language, emotion and energy throughout the movie captivates you, more than any character in the movie and you truly believe that she is capable of everything she puts her mind too, going against the norm and standing up to her fathers need for control.

Her beauty, truly allows her to portray the ellegance of a mermaid and her siren vocals are spectacular and worth replaying time and time again!

Melissa McCarthy also deserves to be at the forefront of appraisal for her extraordinary performance and powerful vocals!

Definitely the best movie I have seen in 2023 and think it will remain a new fan-favourite live action by Disney for years to come!"
Too looong,6,"Very nice visual effects, definitely well done! Nice footage, the director of photography did a GREAT job! My wife enjoyed one song in particular a lot. We laughed on several occasions! The movie has some very nice and lovely parts but unfortunately there has some pretty boring as well. There were moments that if someone would have asked me to to go get some popcorn or a drink, I would have said ""not now"" because I didn't want to miss what was happening, but there were times where I would not mind leaving at all. Kind of violent and too long for small children. My grandkids were almost falling asleep."
Meh. Not for me.,1,"This movie was not my cup of tea. It was dull, the characters had very little depth and it dragged at times. The lead actress was good, but other than that, I didn't really find much to like. The length of the movie was a bit long for me. I found the animation to be odd, especially the Flounder character. I was hoping for some new twists in the story, but it was basically a rehash of the original, which I much preferred . I suppose I was hoping for another big hit, but it just didn't work for me. Maybe if they added some new characters or something that could have done it, but they didn't have much. Not for me."
Loved it! So well cast!,8,"I don't understand the low ratings! I loved everything about it! Halle was amazing (acting and singing), and I admit her rendition of Part of your world gave me goosebumps and yes....... I cried :) Bardem is exactly how I would have imagined the king (he could be cast as Neptune as well :) ) Daveed Diggs and Awquafina were hilarious! Melissa McCarthy was good, but not evil enough (at least, not for me) :) The scenes undersea were rich in every sense: the colours, the creativity with the costumes and the characters, the choreography,.......! And finally the songs and the score........ amazing!! I'm sure it will be nominated for Oscars."
Another live-action remake that doesn't quite live up to the original.,6,"Let me start off by saying I was impatiently awaiting this movies' arrival. I bought my tickets 1 week in advance and was ready! However, during the film I nearly feel asleep half way through as did the other guests who attended with me. Not to say that this is a bad movie, it just doesn't hold as much magic as the original does and it is not nearly as captivating. It felt that the new elements and songs that were added took up a lot of time and then the parts that I was waiting for felt rushed. For instance, Vanessa's arrival and the ceremony that follows felt like they lasted only 5 minutes and there was no big pay off and I felt the same with Ursula's final scene.

I thought that Hallie and Melissa did a good job. I believe my favorite characters were the side characters such as Flounder, Sebastian, and even Scuttle (they should think about removing the rap from the DVD).

Maybe that's an impossible expectation to compare it the original? Seeing as I personally feel that non of the Disney remakes have added any substance or reason for needing a remake. But when taking the original out of the equation it is an overall decent film."
"Bland, not iconic, nothing",1,"I really don't like this ""live action remake"" and let me explain myself.

Firstly, the most iconic things which I had in mind connected to the little mermaid as red hairs, bubbles or even excellent sea creatures were hardly ommited. Instead of that we get brownish hair, not really magic sea world and weirdly annimated things... Secondly, the show itself is not adding anything new or fresh or even worth to rewatching it. I really waited for some enhancements due to high budget and technological advance but I was left with nothing.

So we got a poor remake which was supposed to be something spectacular but turned out to be as bland as the sand on the beach."
Very well done!,10,"14 out of 51 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Maybe not for the younger girls...,6,"My daughter is 6.5 and she found it incredibly boring. By an hour in she had asked me several times if we could leave, so we did. Honestly, I felt the same about the original when I was her age. I was hoping they had made improvements. It looked beautiful, sounded beautiful but moves so slowly. I do like that they gave Prince Eric a background and personality, but it wasn't enough to hold her attention. Or too subtle for her to understand the connection between them. I will try watching again when it streams on Disney+ but for now, we are a little disappointed that we wasted our money on this."
Terrible movie,1,"Terrible movie. The fishes were scary and weird. The actress had zero salt. Everything else was empty. They had one of the classics on their hand and they butchered it. The male dude was so empty and blank that makes you wonder why would she leave everything behind for such an empty vessel? Just bad movie overall. They had incredible live actions like the lion king and maleficente, but they also had terrible ones. This one goes to the bottom of the line as the worst one I have seem so far. And I have seem some terrible ones like dumbo..... I feel like they just wanted a live action and nothing more. No depth..."
Should have left it at animated version,1,"Long, draggy, poorly conceived, and sun-par acting make this one tedious ordeal. The music, for the most part, will provide small pockets of relief, but it's bad when you keep looking at your watch every 10-15 minutes to see how long you've been enduring a movie. The CGI and rendering was so amateurish, I was actually shocked at the poor quality. I had no problem making minor plot changes, but the story overall was fractured. Melissa McCarthy stole the scenes she was in, and I'm grateful she tried so hard. The rest of the performances feel dialed-in or High School drama club quality. Was really hoping to enjoy it, but was so happy when it ended. Very disappointing considering this has the potential to a massive success."
I didn't expect to like it but I made a big mistake,9,"The enchanting tale of ""The Little Mermaid"" has captivated audiences for generations, and the recent remake breathes new life into this beloved story while staying true to its original magic. With a fresh perspective and stunning visuals, the remake transforms the classic into a modern epic that keeps the essence of the original intact.

From the very first scene, it's evident that no expense was spared in creating a visually mesmerizing world under the sea. The underwater kingdom of Atlantica comes alive in vibrant colors, intricate details, and breathtaking CGI that transports viewers into an awe-inspiring underwater realm. The stunning imagery serves as a testament to the advancements in filmmaking, enhancing the original story's enchantment and captivating the audience at every turn.

One of the most remarkable aspects of this remake is how faithfully it stays true to the original story and characters. While there are subtle updates and modern touches, the film successfully preserves the heart and soul of the original Disney classic. The beloved characters, such as Ariel, Flounder, and Sebastian, are beautifully brought to life, capturing their essence and endearing qualities while adding new layers of depth to their personalities. The screenplay, written with care, ensures that the spirit of the original remains intact, instilling nostalgia in long-time fans while delighting new audiences.

The cast of the remake deserves accolades for their performances, bringing a new level of depth and emotion to their characters. The talented actors breathe life into the roles they portray, with each member of the ensemble shining in their own unique way. The casting of the lead character, Ariel, showcases the exceptional talent of the actress who effortlessly embodies the iconic mermaid, evoking both vulnerability and strength. The chemistry between the cast members is palpable, creating a harmonious ensemble that truly brings the story to life.

While ""The Little Mermaid"" remake excelled in many aspects, there were a couple of minor disappointments that stood out. One of them was the portrayal of Flounder, Ariel's loyal companion. In the original film, Flounder was endearing and instantly lovable, but in the remake, his character fell somewhat short of capturing that same charm. Though still a faithful friend to Ariel, his portrayal lacked the same level of sweetness and innocence that made the original Flounder so memorable. It would have been wonderful to see the remake delve deeper into his character and evoke the same fondness as the original.

Additionally, fans of the original might have noticed the absence of a memorable scene in the castle where Sebastian, the charismatic crab, finds himself hilariously pursued by the relentless chef. This comical interlude brought lightheartedness and laughter to the original film, and its omission in the remake left a void in terms of pure comedic relief. While the absence of this scene didn't detract significantly from the overall enjoyment of the film, its inclusion would have been a delightful homage to the original and added an extra layer of entertainment."
It was ok...,6,"The movie was ok...

The plot line was as expected. It didn't differ much from the original ""Little Mermaid"". So that part was good.

The acting was great. I think the cast was very suited for their roles. Halle Bailey played Ariel beautifully and I loved Melissa McCarthy as Ursula. Jonah Hauer-King as Eric was also a good choice.

What I found really down-graded this re-make from the original was the music. Aside from the ""Part of your World"", which I think Halle Bailey sung beautifully, a lot of the music was irritating. Particularly the ""Scuttlebutt"" song.

Also, the live action remake made the animal characters seem lifeless and dead-pan because they don't have facial expressions like they did in the OG cartoon version which sort of killed the magic.

Overall, it just seemed sort of unnecessary to make a re-make of the original in the first place."
"Familiar, but just not very good",2,"I don't know why Disney continues to try to do live action remakes. They just don't work. This movie is no exception. Perhaps a second story, showing a new mermaids adventures would have been more appropriate than trying to remake the old. The CGI animals were weird, which is surprising because you'd want merchandise to sell. No one will want merch from this version. The rap song was odd, it just didn't fit the movie. Plenty of people looked really bored in the theater. It's one of those movies that just keeps going and going and going. If this is any indication of Disney's future, it's in trouble. Let's hope for new stories, not old."
Great live action remake,9,"The lovely actress who played Ariel was wonderful. She has an incredible voice and somehow stayed pretty true to the original songs, but still made it her own in a few ways.

Wasn't a super fan of the new songs. It's like they felt they needed something to make the movie longer and that was good filler. But they were meh.

Loved how King Trident's daughters were from all races, truly representing the 7 seas, as mentioned.

The underwater scenes were very visually stunning and I enjoyed the village scenes as well. Loved the cameo from the OG Ariel there.

Overall, great live action adaptation and will probably purchase this when it comes out for my daughter."
"Enjoyed it, but the original is better I'm afraid",7,"4 out of 24 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
I really wanted to love this move - but sadly I didn't.,2,"I want to preface this by saying that I truly wanted to love this movie. We'd looked forward to it and booked early as my kids and I are huge Little Mermaid fans, but this just wasn't it, I'm afraid.

On the plus side, Halle Bailey has an incredible voice and acted beautifully throughout. The costumes were mostly wonderful and some of the visuals were brilliant (more on that later). There were some good laughs and I liked the inclusion of Eric's mother as a new character. Max the dog is very cute and we all loved the scenes with him!

Some of the visuals were amazing, particularly the scenes on land but the under water stuff was really dark, dull and hard to see. Some of the songs were bizarre. It felt like the words were forced rather than actually fitting the music, and the actors seemed to struggle to keep up at times due to this. The storyline wasn't as expected, it felt forced, unnecessarily dragged out and the plot was perhaps too different in places. We also weren't fans of Flounder, Sebastian and Ursula - I was surprised at how little effort seemed to have gone into these characters, Ursula in particular was a real disappointment (I love Melissa McCarthy too). Ariel's friends seemed unnecessary inclusions and we're verging on being a little cringe. But what hurt the most was how annoying the character of Scuttle was! By the second half I was grinding my teeth at every appearance of him. Him being my favourite character in the original, that was a hard pill to swallow.

All in all, sadly it just seemed to be missing something and lacking in that Disney magic we've all come to expect. Of the 5 kids we took (aged between 8 and 14), 2 wanted to leave early and the other 3 said ""it was ok, but not brilliant"". I'm glad we saw it, but it's not one we'd watch again and again like other Disney movies and remakes. I'd be surprised if any of us watched it again. It's a real shame as I was so hoping they'd prove the naysayers wrong."
🐠 It needed more Scenes with relationship building between Ariel and her Sisters 🐟,8,"5 out of 31 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Nice film quick kids loved,7,"This is pretty much as expected. It's a live version of the Little Mermaid. It's not perfect - I thought the special effects weren't good - but it's entertaining and joyful. The lead has a great voice, McCathy is sufficiently menacing for a Disney villain and the music is lively and lovely. The young children in the cinema with me loved it and were dancing away throughout the film.

I definitely would prefer original films rather than all these live action remakes but this film is just what it claims to be - a live action version of the animation. The casting is good and the new songs worked well. Definitely a good choice for Disney loving kids."
Literally poor unfortunate souls.,1,"42 out of 55 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
2 hours and 15 of awful CGI....,1,"This was a huge disappointment. I was expecting so much better from Disney and hoping this wasn't going to fail like so many other live action remakes and this was my favorite when I was little. I really think Disney needs to stop ruining classic movies that are already established and think of new fresh ideas. I feel like they have lost imagination and their magic, which is why I love Disney in the first place. My 10 year old keep saying this isn't how the movie goes, this is wrong and during the unnecessary extra scenes that went on for what seemed like forever she fell asleep. It was boring. They removed lyrics from Poor Unfortunate Souls and Under The Sea that won 3 awards when it was released in 1989. It's so dark, flat and dull looking, like they used free stock footage. I really wanted to love it but it wasn't good at all. Save your money and go see Dreamworks brand new Teen Kraken in 30 days."
Disney Best live Action Remake yet,8,"Throughout a stupidly controversial process Disney has made the best live action remake yet. One that may even be better than the original. The films changes gives a new light on each character. A story of each characters hardships that will be overcame with the power of love

when I first heard of the little mermaid being developed was not really worried because I loved all of the live action version's (except mulan unfortunately). Although when I went to see the movie in the weekend (05-27-23) I didn't expect it to literally blow me out of the water (heh ocean jokes). This has quite possibly become my favorite live action remake."
"Mid movie, Halle Bailey was amazing though",7,"It's clear to see why she was hired on the spot, her voice sounds ethereal. My main complaints are with the way Flounder looks/ some of the animation because literally what is that?? The reason the original movie is so good is because of the cartoonish animation - which they obviously can't do here BUT Sebastian wasn't as horrifying to look at as Flounder was, they made the eyes slightly more animated looking. Another place they missed the mark: king Triton. He wasn't a good actor, all the scenes with him felt so forced and uncomfortable.

The actor who played Vanessa should have gotten more screen time, she was absolutely amazing and did a great job on her role."
My Grandchildren Hated It,1,"My grandchildren hated it. Any movie advertised as for children that makes my granddaughter scream in terror gets a 1 in my book. I think that with all the too lifelike scenes that she did not understood at all that all the violence on screen wasn't real. I would really hesitate on taking little tykes. The older ones were bored and said they would have rather stayed home and watched Toonami. At the price of those tickets, I really wish they had too.

The movie was dark and soulless. It lacked the over the top expression and bright colors of animation yet it also lacked the sparkle and subtlety that a real human actor can give a scene. I found the angelfish thing they called Flounder quite ugly and there was no way I would have even. I would never have guessed that thing was Sebastian. It looked like a lobster to me.

The music was soulless by comparison. Halle Bailey could belt a tune but the arrangement was bad. I really, really hated that the rap number. That just so didn't fit.

The movie also felt padded out and sluggish, with not good pacing."
Superb,9,"I wasn't sure what to expect going into this but ended up being completely impressed! I saw it in 3D and it was so spectacular I had to go back and see it in 3D a second time. I haven't been a fan of Disney's live action renditions in the past, so I was pleasantly surprised with this one.

The visuals were phenomenal and the story stayed true to the original while still putting a new spin on things. Bailey's singing was beyond beautiful and her sweet nature struck the character on the mark. McCarthy absolutely knocked it out of the park as well. The new songs were great. Definitely recommended."
It is decent for a live action remake,6,"I'm not really a big fan of live action remakes, or just live action in general, but this movie was actually pretty good. I didn't really like the designs for Sebastian, Flounder, and Scuttle at first but I got used to it. I'd say the first half of it was boring and colorless, but once Sebastian started singing ""Under the Sea"" the colors were great. I don't know why they made Scuttle a girl, but I'm a fan of the voice actress so I guess I can't complain. So in my opinion, it's a pretty great movie, better than most live actions. I'll give it an 7/10 for keeping me entertained enough to stay awake."
Wrost disney movie ever,2,"This movie is too It's unreasonable, and the changes compared to the original version are very abrupt. Seriously ruins the viewing experience.

I was looking forward to this movie very much at first, but after actually watching it, I found that it is far inferior to the original version. The moving parts of the original version have completely disappeared, replaced by a really abrupt and blunt preaching plot, which makes people unable to focus on it. The movie itself.

The Little Mermaid itself is beautiful in the movie, but the rest of the movie ruins the whole beauty. It can be said that the director completely ruined the movie."
Don't believe the critics,10,"The movie is very good. It's a shame it's so criticized. In the end, there is sensitivity, love, songs, hope. These values probably don't resonate with many who write reviews here and then they decide to blame the movie, the actors, etc. It's a 10 movie. I even cried many times because of the characters. Everything is so beautiful, magical. I am very sorry that is not being understood by everyone and that some people decided to criticize a film that should have been more appreciated, more valued, with better reviews. I hope that more films like this will be made in the future because they are special in every way."
Not half bad.,7,"HEADS UP! I have not seen the original The Little Mermaid in forever. I only listen to Poor Unfortunate Souls a lot.

So to be quick: It's good. Granted, I like a lot of the live-action remakes, but I thought this film was good.

To get the flaws out of the way first, the CGI looks pretty bad. Namely Triton looked fake as heck every time he was on screen, Flounder looked off, Ursulas tentacles always felt like a separate part of her, and the final fight looked like a video game. Also the pacing of the film was strange. The beginning felt a bit rushed, and everything after that felt very slow. Flounder served no purpose to the story, and the new songs were only okay, the Scuttlebutt rap being particularly questionable quality-wise. The music itself feels forced, and with the exception of Poor Unfortunate Souls, none of them left an impression.

But in terms of positives, the good outweighs the bad. The performances are great across the board. Halle Bailey disappears into the role of Ariel, and Mellisa McCarthy is fantastic as Ursula. The guy who plays the prince is good, and Daveed Diggs is really good as Sebastian. I never would have guessed it was him. This film also had some pretty good jokes, namely from Scuttlebutt. However, I just like Awkwafina's style of humor, so if you don't get into it, this won't change your mind. And while the film has a slow pace, I like how they developed Erik, including him and Ariel's relationship.

So yeah, pretty good movie. I recommend.

Side note, did anyone think that Ursula's human form looked like Hailee Steinfield? Or is that just me?"
Worse than seafood poisoning,1,"First off, the CGI in this movie is an absolute joke. I mean, seriously, did they hire a bunch of amateurs to do the visual effects? The underwater scenes look like they were lifted straight out of a bad video game from the '90s. It's laughable! 🎮😂 The mermaids and other sea creatures look so fake and poorly rendered that it's hard to suspend disbelief and get lost in the story.

And speaking of the story, let's talk about those songs. They sucked, plain and simple. The original animated film had such memorable and catchy tunes, but this remake just falls flat. The new versions lack the charm and magic of the originals, and the singers seem to struggle to hit the right notes. It's a cringeworthy musical experience. 🎶😫

Now, let's move on to Ursula, the iconic villain. In the animated version, she was fierce, powerful, and captivating. But in this live-action mess, she's nothing more than a caricature. The portrayal lacks depth and fails to capture the essence of the character. It's a disservice to the incredible performance of the original Ursula. 👑😡

And let's not forget the unnecessary addition of CGI animals throughout the film. It feels like Disney was just trying to cram as much CGI as possible to distract from the lackluster storytelling and performances. The animals are poorly integrated and look so out of place that it's hard to take the movie seriously. 🐠🦀

To sum it all up, this live-action remake of The Little Mermaid is a prime example of how Disney's obsession with rehashing their classics has gone too far. Each remake seems to be worse than the previous one, and it's clear that no one asked for this. It's a soulless cash grab that tarnishes the legacy of the original film. Disney, please, for the love of all that is good, stop with the live-action remakes! 🚫😤"
Recycled,1,"26 out of 30 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
A great Surprise,8,"I personally didn't expect much from the movie. At best an exact copy of the animated movie without that magic However, it wasn't I will not deny that they removed several things unnecessarily, but, They also added elements that enriched the story, such as the father-daughter dynamic between Ariel and Triton... Or the dynamic between Ariel and Eric, you really see a person forming and with that chemistry Speaking of the bad thing about the movie, it would be Úrsula and the animals, that is, the latter have no expression, and Úrsula was too flat a character All in all it was a good movie !!!!!!"
Laziness is Obvious,7,"Halle Bailey and Melissa McCarthy were definitely the best part of the movie because everything else was lazy work. 2 outfits the entire movie, neither of which were phenomenal. Cringeworthy songs that were absolutely unnecessary.

Underwhelming performance of Under the Sea compared to the original. Lazy visuals and CGI. Some saving moments by extending the romance, but at the expense of cutting out more moments from the sisters who seemed to have important roles but then weren't given any more screentime. Multiple cut songs from the original movie including Les Poissons.

Horrendous voice acting from Sebastian, Flounder, and Scuttle.

The original charm of the movie is often lost in the remake through obviousl short cuts and unnecessarily extending the movie by an hour."
1St one was far better,3,"My wife really wanted to see this film in the theater. Meh, overall for me. She like it a bit more, but neither of us could wait till it was over. Boring, very boring. The cast was lacking and everything seemed off, just a bit. Just empty. Did not care for the music or the songs. Halle can sing, wish they had created better music and songs for her. The rap music was not fitting a movie like this at all. For the kind of money spent on this movie, one would have thought the animation and the animated characters would have been better. Sebastian, looks were completely off on him and it looked like about five minutes of work went into the making of him. I hope more will save their money or pick a better film."
Must See for Me!,10,"I LOVED it!!

Five stars!

Disney did SUCH a great job with this one.

And giving a nod with the quote at the start to Hans Christian Andersen truly made my heart soar!

As a lifelong fan of The Little Mermaid, it was the FIRST film I remember seeing in theaters with my Father and family.

This was everything I could have ever asked for from one of my most beloved films; a film that inspired me from the tender age of 5 when it first came out - a film that showed that love overcomes all, imagination and faith can make anything possible and that anyone can become a part of the world they wish for with just a little effort, hope, and ambition.

Halle Bailey; you did such a great job bringing Ariel to life. Thank you for playing this role with such beautiful finesse and bringing one of my favorite princesses to life with perfect execution!"
Not good but not as bad as I initially thought.,6,"After seeing Disney's first attempts at live actions, I'll admit I didn't have much faith in this movie and questioned if I should even watch it in the first place but after watching it what I have to say is.

I personally liked the graphics but will agree that the CGI models for Sebastian and Flounder are not pleasing to look at.


The songs were good but not as good as the original, I liked the songs they weren't bad but I feel like the original movie did so much for portraying the emotions of the characters with the tone of the voices were singing. Melissa McCarthy nailed Poor Unfortunate Souls, that is the one song that I feel reached that level.




Overall, 6/10 it was a decent film, it needed to work on a lot of things but wasn't as bad as I thought it would be. Melissa McCarthy nailed it, she was amazing."
Disney does not disappoint,1,"This is a joke or something . The problem is NOT the color as many like to point out immediately when someone writes a bad review . The problem is that this does not work there is no soul . The only redemption is that Ariel can actually sing . But that is that . They should have made this an animated feature like Smurfs Lost Village or Super Mario . Ariel could be green for all I care .

The only Live Action remake Disney did and was actually good is ... as we all know it Maleficent . It was actually truly another take on the story that actually made it interesting / wonderful and also kind of sad .

Don't know why children would like to watch National Geographic Remakes of classic tale with live actors ..."
"Wonderful, faithful trip through the original!",9,"I went being highly skeptical, since I haven't liked most of the past Disney live action movies. There are times they take creative license and they think they can do better than the original, completely changing the story, and it becomes just watered-down fanfiction. But with this latest Little Mermaid live action movie, Disney hit a home run and absolutely bested themselves!

The visuals are stunning, the characters are all fun and enjoyable to watch and get to know, and most importantly, the music is a fantastic blast to hear!

Halle perfectly captures the musical essence of the original animated film and exceeded my expectations. I felt both connected and elevated by the passion she puts into her singing, and her acting was equally fun and enjoyable to watch. She is a treat with co-star Jonah as Eric, and their chemistry is electric.

Yes, this take on The Little Mermaid plays it a bit safe by sticking mostly with the original story. But that's what's so good about it! It didn't try to excessively subvert my expectations or push a moral narrative beyond what the original really did. It stuck to the classic's guns and sprinkled in some extra new fun in the form of new songs and some really funny sidekick humor.

Altogether, The Little Mermaid is a wonderful family-friendly trip through this timeless story about a father and daughter making new waves in the world. I went in expecting the worst, but now I cannot wait to see it again!"
Good movie but too much filler,6,"The movie was all right. I believe there was too much filler Halle Bailey did play well as carrying the role of Ariel, as well as Melissa McCarthy as Ursula I wish that it did follow more the original story and did not correlate enough with the cartoon version. I do also wish they added scenes from the original such as the dining room scene where she is playing with her hair and the fork, as well as the scene with the Chef and Sebastian. The movie had way too much filler and it was way too long and it also didn't really make sense, as in remembering the cartoon version, I do enjoy the cinematography of it and also I enjoyed the visuals of the aquatic life and the different finishes and other sea creatures, and how vibrant the colors were. Overall, I did enjoy the movie but there was too much filler and I wish they would have stayed more to the original cartoon a little more."
Just what I expected,1,"I went in with low expectations and was not disappointed. TLM was my favorite Disney movie growing up and was so excited for a live action movie. This was not it. From the previews, it looked dark and gloomy. There was not enough color in most of the underwater scenes. What did they do to poor Flounder? No chemistry between Ariel and Erik. While Halle can sing well, she cannot act. She appears devoid of emotion in most scenes The songs are awful, especially Scuttlebutt. Who's idea was that?? The squawking hurt my ears! I could not take Javier Bardem seriously. I'd like to add that I love Vanessa."
"Weak and drawn-out, with bad CGI",1,"This film is a weak, drawn-out imitation of the original. The lighting is bad, the CGI is sloppy (actors' heads pasted onto CGI bodies), and the new songs and dialogue feel uninspired. Melissa McCarthy is the one bright spot.

I went with a friend and her two kids. The kids are 5 and 7, and they were bored after about an hour. The movie's too long for small kids, though older kids might be OK.

Halle Bailey can sing but she can't act. I didn't see any chemistry between her and the Prince, which is terrible because their romance is a key part of the story. Awkwafina's a disaster. Triton and Sebastian are OK."
"Visually stunning, incredibly theatrical, and the BEST of the live-action adaptations... by far!",8,"38 out of 186 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
A visually beautiful childhood remake,7,"The little mermaid live action is visually beautiful, you are immediately immersed in the ocean world, there are beautiful shot even made in the human world that suggests again the under the sea world. A very good cast, Halle Bailey voice is majestic! The film is a really good reminder of the original cartoon but I was a little surprised by the appearance of the character or Sebastian and Flounder. I feel this live action is not really destined for a too young audience, a tiny bit too long as most of them in the theatre have lost their attention by the middle of the movie. I suggest to watch the Little mermaid on an weekday evening to truly appreciate the movie as its deserved to be seen in cinema."
